Edad;Sexo;Valor;Data;Tipo
0 años;Hombres;165066;Absolutos;Nacional
1 año;Hombres;184358;Absolutos;Nacional
2 años;Hombres;192706;Absolutos;Nacional
3 años;Hombres;207975;Absolutos;Nacional
4 años;Hombres;219278;Absolutos;Nacional
5 años;Hombres;225105;Absolutos;Nacional
6 años;Hombres;229827;Absolutos;Nacional
7 años;Hombres;226994;Absolutos;Nacional
8 años;Hombres;241025;Absolutos;Nacional
9 años;Hombres;247622;Absolutos;Nacional
10 años;Hombres;253127;Absolutos;Nacional
11 años;Hombres;258406;Absolutos;Nacional
12 años;Hombres;269870;Absolutos;Nacional
13 años;Hombres;259774;Absolutos;Nacional
14 años;Hombres;258644;Absolutos;Nacional
15 años;Hombres;252967;Absolutos;Nacional
16 años;Hombres;252458;Absolutos;Nacional
17 años;Hombres;248888;Absolutos;Nacional
18 años;Hombres;244855;Absolutos;Nacional
19 años;Hombres;246333;Absolutos;Nacional
20 años;Hombres;250219;Absolutos;Nacional
21 años;Hombres;244541;Absolutos;Nacional
22 años;Hombres;240376;Absolutos;Nacional
23 años;Hombres;244271;Absolutos;Nacional
24 años;Hombres;242842;Absolutos;Nacional
25 años;Hombres;246257;Absolutos;Nacional
26 años;Hombres;251070;Absolutos;Nacional
27 años;Hombres;260396;Absolutos;Nacional
28 años;Hombres;267593;Absolutos;Nacional
29 años;Hombres;267573;Absolutos;Nacional
30 años;Hombres;270724;Absolutos;Nacional
31 años;Hombres;274834;Absolutos;Nacional
32 años;Hombres;279711;Absolutos;Nacional
33 años;Hombres;283061;Absolutos;Nacional
34 años;Hombres;288940;Absolutos;Nacional
35 años;Hombres;298902;Absolutos;Nacional
36 años;Hombres;310662;Absolutos;Nacional
37 años;Hombres;321367;Absolutos;Nacional
38 años;Hombres;340348;Absolutos;Nacional
39 años;Hombres;356110;Absolutos;Nacional
40 años;Hombres;374035;Absolutos;Nacional
41 años;Hombres;384232;Absolutos;Nacional
